sample_id,run_id,article_id,phase,timepoint,sample_event,replicate,planned_container_id,condition,storage_handling_notes,contents_note,required_readouts
ZRCND-A-baseline_rc_3p5m_guard-R1-0h-initial,ZRCND-A-baseline_rc_3p5m_guard-R1-0h,baseline_rc_3p5m_guard,A,0 h,initial,1,ZRC-A-01-BASELINE-RC-3P5M-GUA-0-H-INITIAL,unmodified baseline,"Keep article, timepoint, and sample event separated; record actual module, tube, medium, exposure, and receipt fields before data entry.",nonclinical R&D acellular medium/module sample; no live cells,pH;osmolality;conductivity;visible_precipitate
ZRCND-A-baseline_rc_3p5m_guard-R1-0h-final,ZRCND-A-baseline_rc_3p5m_guard-R1-0h,baseline_rc_3p5m_guard,A,0 h,final,1,ZRC-A-02-BASELINE-RC-3P5M-GUA-0-H-FINAL,unmodified baseline,"Keep article, timepoint, and sample event separated; record actual module, tube, medium, exposure, and receipt fields before data entry.",nonclinical R&D acellular medium/module sample; no live cells,pH;osmolality;conductivity;visible_precipitate
ZRCND-A-baseline_rc_3p5m_guard-R1-24h-initial,ZRCND-A-baseline_rc_3p5m_guard-R1-24h,baseline_rc_3p5m_guard,A,24 h,initial,1,ZRC-A-03-BASELINE-RC-3P5M-GUA-24-H-INITIAL,unmodified baseline,"Keep article, timepoint, and sample event separated; record actual module, tube, medium, exposure, and receipt fields before data entry.",nonclinical R&D acellular medium/module sample; no live cells,pH;osmolality;conductivity;visible_precipitate
ZRCND-A-baseline_rc_3p5m_guard-R1-24h-final,ZRCND-A-baseline_rc_3p5m_guard-R1-24h,baseline_rc_3p5m_guard,A,24 h,final,1,ZRC-A-04-BASELINE-RC-3P5M-GUA-24-H-FINAL,unmodified baseline,"Keep article, timepoint, and sample event separated; record actual module, tube, medium, exposure, and receipt fields before data entry.",nonclinical R&D acellular medium/module sample; no live cells,pH;osmolality;conductivity;visible_precipitate
ZRCND-A-challenge_zrc_nd_10m_guard-R1-0h-initial,ZRCND-A-challenge_zrc_nd_10m_guard-R1-0h,challenge_zrc_nd_10m_guard,A,0 h,initial,1,ZRC-A-05-CHALLENGE-ZRC-ND-10M-0-H-INITIAL,high-clearance retention challenge,"Keep article, timepoint, and sample event separated; record actual module, tube, medium, exposure, and receipt fields before data entry.",nonclinical R&D acellular medium/module sample; no live cells,pH;osmolality;conductivity;visible_precipitate
ZRCND-A-challenge_zrc_nd_10m_guard-R1-0h-final,ZRCND-A-challenge_zrc_nd_10m_guard-R1-0h,challenge_zrc_nd_10m_guard,A,0 h,final,1,ZRC-A-06-CHALLENGE-ZRC-ND-10M-0-H-FINAL,high-clearance retention challenge,"Keep article, timepoint, and sample event separated; record actual module, tube, medium, exposure, and receipt fields before data entry.",nonclinical R&D acellular medium/module sample; no live cells,pH;osmolality;conductivity;visible_precipitate
ZRCND-A-challenge_zrc_nd_10m_guard-R1-24h-initial,ZRCND-A-challenge_zrc_nd_10m_guard-R1-24h,challenge_zrc_nd_10m_guard,A,24 h,initial,1,ZRC-A-07-CHALLENGE-ZRC-ND-10M-24-H-INITIAL,high-clearance retention challenge,"Keep article, timepoint, and sample event separated; record actual module, tube, medium, exposure, and receipt fields before data entry.",nonclinical R&D acellular medium/module sample; no live cells,pH;osmolality;conductivity;visible_precipitate
ZRCND-A-challenge_zrc_nd_10m_guard-R1-24h-final,ZRCND-A-challenge_zrc_nd_10m_guard-R1-24h,challenge_zrc_nd_10m_guard,A,24 h,final,1,ZRC-A-08-CHALLENGE-ZRC-ND-10M-24-H-FINAL,high-clearance retention challenge,"Keep article, timepoint, and sample event separated; record actual module, tube, medium, exposure, and receipt fields before data entry.",nonclinical R&D acellular medium/module sample; no live cells,pH;osmolality;conductivity;visible_precipitate
ZRCND-A-lead_zrc_nd_3p5m_guard-R1-0h-initial,ZRCND-A-lead_zrc_nd_3p5m_guard-R1-0h,lead_zrc_nd_3p5m_guard,A,0 h,initial,1,ZRC-A-09-LEAD-ZRC-ND-3P5M-GUA-0-H-INITIAL,lead candidate,"Keep article, timepoint, and sample event separated; record actual module, tube, medium, exposure, and receipt fields before data entry.",nonclinical R&D acellular medium/module sample; no live cells,pH;osmolality;conductivity;visible_precipitate
ZRCND-A-lead_zrc_nd_3p5m_guard-R1-0h-final,ZRCND-A-lead_zrc_nd_3p5m_guard-R1-0h,lead_zrc_nd_3p5m_guard,A,0 h,final,1,ZRC-A-10-LEAD-ZRC-ND-3P5M-GUA-0-H-FINAL,lead candidate,"Keep article, timepoint, and sample event separated; record actual module, tube, medium, exposure, and receipt fields before data entry.",nonclinical R&D acellular medium/module sample; no live cells,pH;osmolality;conductivity;visible_precipitate
ZRCND-A-lead_zrc_nd_3p5m_guard-R1-24h-initial,ZRCND-A-lead_zrc_nd_3p5m_guard-R1-24h,lead_zrc_nd_3p5m_guard,A,24 h,initial,1,ZRC-A-11-LEAD-ZRC-ND-3P5M-GUA-24-H-INITIAL,lead candidate,"Keep article, timepoint, and sample event separated; record actual module, tube, medium, exposure, and receipt fields before data entry.",nonclinical R&D acellular medium/module sample; no live cells,pH;osmolality;conductivity;visible_precipitate
ZRCND-A-lead_zrc_nd_3p5m_guard-R1-24h-final,ZRCND-A-lead_zrc_nd_3p5m_guard-R1-24h,lead_zrc_nd_3p5m_guard,A,24 h,final,1,ZRC-A-12-LEAD-ZRC-ND-3P5M-GUA-24-H-FINAL,lead candidate,"Keep article, timepoint, and sample event separated; record actual module, tube, medium, exposure, and receipt fields before data entry.",nonclinical R&D acellular medium/module sample; no live cells,pH;osmolality;conductivity;visible_precipitate
ZRCND-A-no_module_static_control-R1-0h-initial,ZRCND-A-no_module_static_control-R1-0h,no_module_static_control,A,0 h,initial,1,ZRC-A-13-NO-MODULE-STATIC-CON-0-H-INITIAL,stability and background control,"Keep article, timepoint, and sample event separated; record actual module, tube, medium, exposure, and receipt fields before data entry.",nonclinical R&D acellular medium/module sample; no live cells,pH;osmolality;conductivity;visible_precipitate
ZRCND-A-no_module_static_control-R1-0h-final,ZRCND-A-no_module_static_control-R1-0h,no_module_static_control,A,0 h,final,1,ZRC-A-14-NO-MODULE-STATIC-CON-0-H-FINAL,stability and background control,"Keep article, timepoint, and sample event separated; record actual module, tube, medium, exposure, and receipt fields before data entry.",nonclinical R&D acellular medium/module sample; no live cells,pH;osmolality;conductivity;visible_precipitate
ZRCND-A-no_module_static_control-R1-24h-initial,ZRCND-A-no_module_static_control-R1-24h,no_module_static_control,A,24 h,initial,1,ZRC-A-15-NO-MODULE-STATIC-CON-24-H-INITIAL,stability and background control,"Keep article, timepoint, and sample event separated; record actual module, tube, medium, exposure, and receipt fields before data entry.",nonclinical R&D acellular medium/module sample; no live cells,pH;osmolality;conductivity;visible_precipitate
ZRCND-A-no_module_static_control-R1-24h-final,ZRCND-A-no_module_static_control-R1-24h,no_module_static_control,A,24 h,final,1,ZRC-A-16-NO-MODULE-STATIC-CON-24-H-FINAL,stability and background control,"Keep article, timepoint, and sample event separated; record actual module, tube, medium, exposure, and receipt fields before data entry.",nonclinical R&D acellular medium/module sample; no live cells,pH;osmolality;conductivity;visible_precipitate
