path,exists,bytes,sha256,role
reports/zrc_nd_phase_a_service_request.md,true,5958,b238fae53a65e6d622ffc7f374844e734db75af1e991a0ff9004c980a889ae36,"Primary Phase A lab/cooperator request: matrix, deliverables, acceptance gate, and rejection rules."
data/zrc_nd_phase_a_sentinel_template.csv,true,2577,e818351e23fb1ddafdd308567b26c4e51460197a84e563e81e21697f476081dc,The 8-row Phase A CSV to fill with real medium-integrity measurements.
reports/zrc_nd_phase_a_sentinel_packet.md,true,2121,3909825a725dda647e267f3ec7001b5dcf0cf1575aaebdf02a043120d6c837c4,Human-readable Phase A sentinel packet and gate description.
data/zrc_nd_phase_a_sentinel_sample_manifest.csv,true,3819,9c6b4f82658ea78b1e5986d0291c4bb37d6f8197919eb31bef452d644717c23a,"Sample-level manifest tying run_id to sample_event, article, timepoint, and readouts."
data/zrc_nd_phase_a_sample_labels.csv,true,7214,916a6fbd8f037631907db75127ca970f9afa75307d37b42d23a9ed09993e7269,"Printable/transferable labels with sample IDs, planned container IDs, article IDs, and handling notes."
data/zrc_nd_phase_a_chain_of_custody.csv,true,4185,d78e28317e5a2573a97e63b5923f5e06139537eceb8defeac569ae4947bb4adb,"Blank chain-of-custody transfer rows to complete during preparation, release, receipt, and return."
reports/zrc_nd_phase_a_chain_of_custody.md,true,3921,956241196106ba96d35ebbaa0f69cbf6f39c9f5b1924712813f7f5ab73ef2bd8,"Human-readable sample handoff instructions, blank fields, and rejection rules."
reports/zrc_nd_next_measurements.md,true,2320,401abb7ac6fc1049ee22eddd8df8d96ae79e051d9db310086f0d463749c150b8,Current adaptive selector output showing why Phase A is the next ZRC-ND batch.
data/zrc_nd_3p5k_guard_validation_package.json,true,16446,24d8c12bf6184352f9f8f34f2acb1300c5614bdfa76fdaebb76870c9a16f66e2,"Machine-readable validation package defining articles, assays, fields, and gates."
reports/zrc_nd_run_plan.md,true,910,97fae50d5aef7e2d50baf8ff13d9c202b8cc5e2e0e21f449c1402f16e688b1db,Full non-cell run plan context; Phase A is the current first sentinel subset.
